Día;MesStr;Año;Órdenes;Comensales;Valor medio (Suma);Valor medio (Total);Valor medio;Suma;Descuento;Subtotal;Impuesto;Total
7;Mayo;2021;43,00;43,00;11,56;11,56;00:03:36;497,15;;451,97;45,18;497,15
6;Mayo;2021;43,00;47,00;11,06;10,90;00:04:53;519,80;7,60;465,64;46,55;512,19
5;Mayo;2021;39,00;39,00;11,42;11,20;00:07:26;445,55;8,63;397,19;39,72;436,91
4;Mayo;2021;30,00;30,00;10,04;9,90;00:05:14;301,05;3,95;270,10;26,99;297,09
3;Mayo;2021;30,00;31,00;7,95;6,95;00:13:07;246,60;31,01;196,00;19,59;215,59
2;Mayo;2021;49,00;49,00;13,86;13,80;00:03:29;678,90;2,50;614,92;61,48;676,40
1;Mayo;2021;54,00;54,00;15,60;15,06;00:05:46;842,65;29,47;739,20;73,96;813,16
30;Abril;2021;62,00;62,00;13,89;13,83;00:06:09;861,15;3,50;779,70;77,95;857,65
29;Abril;2021;45,00;45,00;9,88;9,78;00:27:03;444,40;4,13;400,24;40,03;440,27
28;Abril;2021;44,00;44,00;11,26;10,78;00:10:18;495,40;21,02;431,21;43,16;474,37
27;Abril;2021;35,00;35,00;9,82;9,58;00:02:04;343,85;8,63;304,74;30,48;335,22
26;Abril;2021;37,00;37,00;9,72;9,69;00:02:40;359,50;1,13;325,81;32,56;358,37
25;Abril;2021;42,00;42,00;10,70;10,61;00:02:27;449,30;3,75;405,05;40,49;445,54
24;Abril;2021;46,00;46,00;14,46;13,32;00:06:06;665,35;52,51;557,16;55,68;612,84
23;Abril;2021;83,00;83,00;13,52;13,08;00:05:28;1121,90;36,45;986,79;98,65;1085,44
22;Abril;2021;38,00;38,00;13,65;13,43;00:12:30;518,55;8,39;463,80;46,36;510,16
21;Abril;2021;40,00;40,00;11,86;11,86;00:03:16;474,25;;431,15;43,10;474,25
20;Abril;2021;42,00;42,00;12,99;12,13;00:04:38;545,75;36,20;463,23;46,31;509,54
19;Abril;2021;32,00;32,00;8,92;8,80;00:04:16;285,50;3,95;255,96;25,59;281,55
18;Abril;2021;40,00;40,00;13,36;13,01;00:09:40;534,20;13,93;472,96;47,31;520,27
17;Abril;2021;60,00;60,00;13,13;12,99;00:06:52;787,60;8,20;708,56;70,82;779,38
16;Abril;2021;61,00;61,00;12,97;12,21;00:06:15;791,20;46,50;677,02;67,68;744,70
15;Abril;2021;49,00;49,00;11,61;11,40;00:03:09;568,75;10,18;507,80;50,77;558,57
14;Abril;2021;51,00;51,00;11,56;11,51;00:05:01;589,60;2,58;533,61;53,41;587,02
13;Abril;2021;44,00;44,00;10,24;10,12;00:02:59;450,60;5,35;404,72;40,50;445,22
12;Abril;2021;33,00;34,00;9,86;9,61;00:03:41;335,25;8,35;297,18;29,72;326,90
11;Abril;2021;45,00;45,00;10,39;10,36;00:04:22;467,45;1,25;423,83;42,36;466,19
10;Abril;2021;40,00;40,00;18,11;16,83;00:08:10;724,55;51,38;611,92;61,24;673,16
9;Abril;2021;72,00;72,00;11,82;11,80;00:04:56;851,25;1,40;772,53;77,31;849,84
8;Abril;2021;46,00;46,00;11,03;10,84;00:03:59;507,15;8,38;453,37;45,39;498,76
7;Abril;2021;45,00;45,00;11,55;11,23;00:04:34;519,65;14,28;459,41;45,95;505,36
6;Abril;2021;37,00;37,00;10,27;10,02;00:03:30;379,85;9,25;336,93;33,67;370,60
5;Abril;2021;45,00;46,00;15,60;15,60;00:02:29;717,60;;652,34;65,26;717,60
4;Abril;2021;46,00;46,00;16,58;16,10;00:04:11;762,70;22,10;673,28;67,31;740,59
3;Abril;2021;43,00;44,00;11,96;11,44;00:05:33;526,40;23,05;457,59;45,75;503,34
2;Abril;2021;44,00;44,00;12,84;12,78;00:02:37;565,10;2,75;511,20;51,15;562,35
1;Abril;2021;50,00;50,00;14,80;13,60;00:07:52;740,10;59,88;618,41;61,79;680,20
31;Marzo;2021;44,00;44,00;14,13;12,64;00:09:38;621,50;65,38;505,56;50,55;556,11
30;Marzo;2021;52,00;52,00;11,12;10,95;00:02:48;578,30;8,75;517,75;51,79;569,54
29;Marzo;2021;56,00;56,00;10,94;10,91;00:03:42;612,45;1,25;555,59;55,60;611,19
28;Marzo;2021;43,00;43,00;13,80;13,51;00:04:45;593,40;12,50;528,14;52,76;580,90
27;Marzo;2021;51,00;51,00;12,74;12,50;00:02:08;649,60;11,88;579,80;57,93;637,73
26;Marzo;2021;63,00;64,00;12,85;12,73;00:04:35;822,25;7,63;740,55;74,07;814,62
25;Marzo;2021;40,00;40,00;9,32;9,27;00:02:38;372,60;1,85;337,04;33,71;370,75
24;Marzo;2021;52,00;52,00;15,28;14,71;00:06:14;794,35;29,58;695,23;69,52;764,75
23;Marzo;2021;51,00;52,00;10,74;9,80;00:07:49;558,60;48,75;463,51;46,33;509,84
22;Marzo;2021;41,00;43,00;9,51;9,51;00:02:34;408,75;;371,62;37,13;408,75
21;Marzo;2021;43,00;43,00;13,53;13,42;00:02:57;581,75;4,63;524,63;52,49;577,12
